n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
346 | Betzwieser, Joseph | Massachusetts Institute of Technology | 2008 | male | 1 | 0 | 2008 | 42 | 116 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 6 | 8 | 3 | 8 | 16 | 14 | 9 | 7 | 17 | 6 | 13 | 7 | 29 |
347 | Ceverino-Rodriguez, Daniel | New Mexico State University | 2008 | male | 1 | 0 | 2008 | 1 | 0 | 2008 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
348 | McWilliams, Sean Thomas | University of Maryland, College Park | 2008 | male | 1 | 9 | 2014 | 26 | 80 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 3 | 3 | 0 | 2 | 1 | 0 | 0 |  0 | 0 | 0 | 0 | 11 | 15 | 4 | 5 | 5 | 6 | 4 | 5 | 9 | 33 |
349 | Noble, Andrew Eddy | Cornell University | 2008 | male | 2 | 0 | 2008 | 5 | 4 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 2 | 1 | 2 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 |
350 | Lowe, Lisa L. | North Carolina State University | 2008 | female | 1 | 0 | 2008 | 5 | 0 | 2008 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 1 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
351 | Pszota, Gabor | Purdue University | 2008 | male | 3 | 0 | 2008 | 3 | 0 | 2008 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
352 | Jiang, Yan Wei | Stanford University | 2008 | male | 4 | 1 | 2009 | 10 | 13 | 2016 | 1 | 0 | 1 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 1 | 4 | 2 | 0 | 2 | 2 | 0 | 1 | 3 | 1 | 3 | 1 | 2 |
353 | Kolterman, Brian E. | New York University | 2008 | male | 2 | 0 | 2008 | 8 | 9 | 2015 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 3 | 5 | 3 | 0 | 0 | 3 | 0 | 2 | 1 | 0 |
354 | Lawrence, Kristin Portle | University of California, San Diego | 2008 | female | 3 | 0 | 2008 | 4 | 3 | 2016 | 1 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  2 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 |
355 | Moeckel, Nickolas Barry | University of Colorado at Boulder | 2008 | male | 5 | 12 | 2015 | 5 | 19 | 2015 | 0 | 0 | 0 | 1 | 2 | 2 | 3 | 1 | 2 | 5 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 1 | 2 | 2 | 4 | 1 | 4 | 9 | 0 | 0 | 1 | 0 |
356 | Nava, Aida Hortensia | The University of Oklahoma | 2008 | female | 2 | 0 | 2008 | 4 | 0 | 2008 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
357 | Ouellette, Nicolas | Arizona State University | 2008 | male | 2 | 2 | 2010 | 3 | 3 | 2012 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 |
358 | Pan, Liubin | The University of Texas at Austin | 2008 | male | 3 | 17 | 2016 | 3 | 24 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 2 | 2 | 2 | 2 | 2 | 4 | 2 | 1 |  0 | 0 | 0 | 0 | 1 | 2 | 2 | 3 | 2 | 3 | 2 | 6 | 2 | 3 |
359 | Ao, Xianzhi | University of California, Riverside | 2008 | male | 1 | 0 | 2008 | 3 | 6 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 2 | 2 | 2 | 0 | 0 |
360 | Cool, Richard Jacob | The University of Arizona | 2008 | male | 7 | 2 | 2013 | 27 | 31 | 2017 | 0 | 0 | 1 | 3 | 1 | 2 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 |  1 | 1 | 2 | 12 | 6 | 5 | 4 | 3 | 6 | 4 | 6 | 1 | 5 | 1 |
